what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426465247
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1362426478363
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1362426478416
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1362426478478
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1362426478511
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1362426478528
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1362426478573
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1362426478588
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1362426478652
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1362426478654
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1362426479236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426481600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426491989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426515276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426519996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362426541151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426542407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426543037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426547388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426547561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426547721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426547897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426548089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426548288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362426548473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362426559612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362426565537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426566444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426586775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426590069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426613262
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362426618250
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1362426619004
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1362426619023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362426620355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362426623836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426627166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426645158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426646647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426659349
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362426659480
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362426660524
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362426661405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426662642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426663725
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362426664485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426665640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426749555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362426750915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362427006248
